T535X2D,"Toxic effect of chlorofluorocarbons, intentional self-harm, subsequent encounter"
V0110XA,"Pedestrian on foot injured in collision with pedal cycle in traffic accident, initial encounter"
V0110XD,"Pedestrian on foot injured in collision with pedal cycle in traffic accident, subsequent encounter"
V0110XS,"Pedestrian on foot injured in collision with pedal cycle in traffic accident, sequela"
V0111XA,"Pedestrian on roller-skates injured in collision with pedal cycle in traffic accident, initial encounter"
V0111XD,"Pedestrian on roller-skates injured in collision with pedal cycle in traffic accident, subsequent encounter"
V0111XS,"Pedestrian on roller-skates injured in collision with pedal cycle in traffic accident, sequela"
V0112XA,"Pedestrian on skateboard injured in collision with pedal cycle in traffic accident, initial encounter"
V0112XD,"Pedestrian on skateboard injured in collision with pedal cycle in traffic accident, subsequent encounter"
V0112XS,"Pedestrian on skateboard injured in collision with pedal cycle in traffic accident, sequela"
V0119XA,"Pedestrian with other conveyance injured in collision with pedal cycle in traffic accident, initial encounter"
V0119XD,"Pedestrian with other conveyance injured in collision with pedal cycle in traffic accident, subsequent encounter"
V0119XS,"Pedestrian with other conveyance injured in collision with pedal cycle in traffic accident, sequela"
V0190XA,"Pedestrian on foot injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, initial encounter"
V0190XD,"Pedestrian on foot injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0190XS,"Pedestrian on foot injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, sequela"
V0191XA,"Pedestrian on roller-skates injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, initial encounter"
V0191XD,"Pedestrian on roller-skates injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0191XS,"Pedestrian on roller-skates injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, sequela"
V0192XA,"Pedestrian on skateboard injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, initial encounter"
V0192XD,"Pedestrian on skateboard injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0192XS,"Pedestrian on skateboard injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, sequela"
V0199XA,"Pedestrian with other conveyance injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, initial encounter"
V0199XD,"Pedestrian with other conveyance injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0199XS,"Pedestrian with other conveyance injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, sequela"
V0200XA,"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
V0200XD,"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
V0200XS,"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
V0201XA,"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
V0201XD,"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
V0201XS,"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
V0202XA,"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
V0202XD,"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
V0202XS,"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
V0209XA,"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
V0209XD,"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
V0209XS,"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
V0210XA,"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
V0210XD,"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
V0210XS,"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
V0211XA,"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
V0211XD,"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
V0211XS,"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
V0212XA,"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
V0212XD,"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
V0212XS,"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
V0219XA,"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
V0219XD,"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
V0219XS,"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
V0290XA,"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, initial encounter"
V0290XD,"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0290XS,"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, sequela"
V0291XA,"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, initial encounter"
V0291XD,"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0291XS,"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, sequela"
V0292XA,"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, initial encounter"
V0292XD,"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0292XS,"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, sequela"
V0299XA,"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, initial encounter"
V0299XD,"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0299XS,"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, sequela"
V0300XA,"Pedestrian on foot injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
V0300XD,"Pedestrian on foot injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
V0300XS,"Pedestrian on foot injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
V0301XA,"Pedestrian on roller-skates injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
V0301XD,"Pedestrian on roller-skates injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
V0301XS,"Pedestrian on roller-skates injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
V0302XA,"Pedestrian on skateboard injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
V0302XD,"Pedestrian on skateboard injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
V0302XS,"Pedestrian on skateboard injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
V0309XA,"Pedestrian with other conveyance injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
V0309XD,"Pedestrian with other conveyance injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
V0309XS,"Pedestrian with other conveyance injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
V0310XA,"Pedestrian on foot injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
V0310XD,"Pedestrian on foot injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
V0310XS,"Pedestrian on foot injured in collision with car, pick-up truck or van in traffic accident, sequela"
V0311XA,"Pedestrian on roller-skates injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
V0311XD,"Pedestrian on roller-skates injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
V0311XS,"Pedestrian on roller-skates injured in collision with car, pick-up truck or van in traffic accident, sequela"
V0312XA,"Pedestrian on skateboard injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
V0312XD,"Pedestrian on skateboard injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
V0312XS,"Pedestrian on skateboard injured in collision with car, pick-up truck or van in traffic accident, sequela"
V0319XA,"Pedestrian with other conveyance injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
V0319XD,"Pedestrian with other conveyance injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
V0319XS,"Pedestrian with other conveyance injured in collision with car, pick-up truck or van in traffic accident, sequela"
V0390XA,"Pedestrian on foot injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, initial encounter"
V0390XD,"Pedestrian on foot injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0390XS,"Pedestrian on foot injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, sequela"
V0391XA,"Pedestrian on roller-skates injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, initial encounter"
V0391XD,"Pedestrian on roller-skates injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0391XS,"Pedestrian on roller-skates injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, sequela"
V0392XA,"Pedestrian on skateboard injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, initial encounter"
V0392XD,"Pedestrian on skateboard injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0392XS,"Pedestrian on skateboard injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, sequela"
V0399XA,"Pedestrian with other conveyance injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, initial encounter"
V0399XD,"Pedestrian with other conveyance injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0399XS,"Pedestrian with other conveyance injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, sequela"
V0400XA,"Pedestrian on foot injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
V0400XD,"Pedestrian on foot injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
V0400XS,"Pedestrian on foot injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
V0401XA,"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
V0401XD,"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
V0401XS,"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
V0402XA,"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
V0402XD,"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
V0402XS,"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
V0409XA,"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
V0409XD,"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
V0409XS,"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
V0410XA,"Pedestrian on foot injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter"
V0410XD,"Pedestrian on foot injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter"
V0410XS,"Pedestrian on foot injured in collision with heavy transport vehicle or bus in traffic accident, sequela"
V0411XA,"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter"
V0411XD,"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter"
V0411XS,"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus in traffic accident, sequela"
V0412XA,"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter"
V0412XD,"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter"
V0412XS,"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in traffic accident, sequela"
V0419XA,"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter"
V0419XD,"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter"
V0419XS,"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus in traffic accident, sequela"
V0490XA,"Pedestrian on foot injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, initial encounter"
V0490XD,"Pedestrian on foot injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0490XS,"Pedestrian on foot injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, sequela"
V0491XA,"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, initial encounter"
V0491XD,"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0491XS,"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, sequela"
V0492XA,"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, initial encounter"
V0492XD,"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0492XS,"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, sequela"
V0499XA,"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, initial encounter"
V0499XD,"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0499XS,"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, sequela"
V0500XA,"Pedestrian on foot injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter"
V0500XD,"Pedestrian on foot injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter"
V0500XS,"Pedestrian on foot injured in collision with railway train or railway vehicle in nontraffic accident, sequela"
V0501XA,"Pedestrian on roller-skates injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter"
V0501XD,"Pedestrian on roller-skates injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter"
V0501XS,"Pedestrian on roller-skates injured in collision with railway train or railway vehicle in nontraffic accident, sequela"
V0502XA,"Pedestrian on skateboard injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter"
V0502XD,"Pedestrian on skateboard injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter"
V0502XS,"Pedestrian on skateboard injured in collision with railway train or railway vehicle in nontraffic accident, sequela"
V0509XA,"Pedestrian with other conveyance injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter"
V0509XD,"Pedestrian with other conveyance injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter"
V0509XS,"Pedestrian with other conveyance injured in collision with railway train or railway vehicle in nontraffic accident, sequela"
V0510XA,"Pedestrian on foot injured in collision with railway train or railway vehicle in traffic accident, initial encounter"
V0510XD,"Pedestrian on foot injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter"
V0510XS,"Pedestrian on foot injured in collision with railway train or railway vehicle in traffic accident, sequela"
V0511XA,"Pedestrian on roller-skates injured in collision with railway train or railway vehicle in traffic accident, initial encounter"
V0511XD,"Pedestrian on roller-skates injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter"
V0511XS,"Pedestrian on roller-skates injured in collision with railway train or railway vehicle in traffic accident, sequela"
V0512XA,"Pedestrian on skateboard injured in collision with railway train or railway vehicle in traffic accident, initial encounter"
V0512XD,"Pedestrian on skateboard injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter"
V0512XS,"Pedestrian on skateboard injured in collision with railway train or railway vehicle in traffic accident, sequela"
V0519XA,"Pedestrian with other conveyance injured in collision with railway train or railway vehicle in traffic accident, initial encounter"
V0519XD,"Pedestrian with other conveyance injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter"
V0519XS,"Pedestrian with other conveyance injured in collision with railway train or railway vehicle in traffic accident, sequela"
V0590XA,"Pedestrian on foot injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, initial encounter"
V0590XD,"Pedestrian on foot injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0590XS,"Pedestrian on foot injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, sequela"
V0591XA,"Pedestrian on roller-skates injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, initial encounter"
V0591XD,"Pedestrian on roller-skates injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0591XS,"Pedestrian on roller-skates injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, sequela"
V0592XA,"Pedestrian on skateboard injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, initial encounter"
V0592XD,"Pedestrian on skateboard injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0592XS,"Pedestrian on skateboard injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, sequela"
V0599XA,"Pedestrian with other conveyance injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, initial encounter"
V0599XD,"Pedestrian with other conveyance injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0599XS,"Pedestrian with other conveyance injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, sequela"
V0600XA,"Pedestrian on foot injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter"
V0600XD,"Pedestrian on foot injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter"
V0600XS,"Pedestrian on foot injured in collision with other nonmotor vehicle in nontraffic accident, sequela"
V0601XA,"Pedestrian on roller-skates injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter"
V0601XD,"Pedestrian on roller-skates injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter"
V0601XS,"Pedestrian on roller-skates injured in collision with other nonmotor vehicle in nontraffic accident, sequela"
V0602XA,"Pedestrian on skateboard injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter"
V0602XD,"Pedestrian on skateboard injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter"
V0602XS,"Pedestrian on skateboard injured in collision with other nonmotor vehicle in nontraffic accident, sequela"
V0609XA,"Pedestrian with other conveyance injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter"
V0609XD,"Pedestrian with other conveyance injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter"
V0609XS,"Pedestrian with other conveyance injured in collision with other nonmotor vehicle in nontraffic accident, sequela"
V0610XA,"Pedestrian on foot injured in collision with other nonmotor vehicle in traffic accident, initial encounter"
V0610XD,"Pedestrian on foot injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter"
V0610XS,"Pedestrian on foot injured in collision with other nonmotor vehicle in traffic accident, sequela"
V0611XA,"Pedestrian on roller-skates injured in collision with other nonmotor vehicle in traffic accident, initial encounter"
V0611XD,"Pedestrian on roller-skates injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter"
V0611XS,"Pedestrian on roller-skates injured in collision with other nonmotor vehicle in traffic accident, sequela"
V0612XA,"Pedestrian on skateboard injured in collision with other nonmotor vehicle in traffic accident, initial encounter"
V0612XD,"Pedestrian on skateboard injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter"
V0612XS,"Pedestrian on skateboard injured in collision with other nonmotor vehicle in traffic accident, sequela"
V0619XA,"Pedestrian with other conveyance injured in collision with other nonmotor vehicle in traffic accident, initial encounter"
V0619XD,"Pedestrian with other conveyance injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter"
V0619XS,"Pedestrian with other conveyance injured in collision with other nonmotor vehicle in traffic accident, sequela"
V0690XA,"Pedestrian on foot injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, initial encounter"
V0690XD,"Pedestrian on foot injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0690XS,"Pedestrian on foot injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, sequela"
V0691XA,"Pedestrian on roller-skates injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, initial encounter"
V0691XD,"Pedestrian on roller-skates injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0691XS,"Pedestrian on roller-skates injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, sequela"
V0692XA,"Pedestrian on skateboard injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, initial encounter"
V0692XD,"Pedestrian on skateboard injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0692XS,"Pedestrian on skateboard injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, sequela"
V0699XA,"Pedestrian with other conveyance injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, initial encounter"
V0699XD,"Pedestrian with other conveyance injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter"
V0699XS,"Pedestrian with other conveyance injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, sequela"
V0900XA,"Pedestrian injured in nontraffic accident involving unspecified motor vehicles, initial encounter"
V0900XD,"Pedestrian injured in nontraffic accident involving unspecified motor vehicles, subsequent encounter"
V0900XS,"Pedestrian injured in nontraffic accident involving unspecified motor vehicles, sequela"
V0901XA,"Pedestrian injured in nontraffic accident involving military vehicle, initial encounter"
V0901XD,"Pedestrian injured in nontraffic accident involving military vehicle, subsequent encounter"
V0901XS,"Pedestrian injured in nontraffic accident involving military vehicle, sequela"
V0909XA,"Pedestrian injured in nontraffic accident involving other motor vehicles, initial encounter"
V0909XD,"Pedestrian injured in nontraffic accident involving other motor vehicles, subsequent encounter"
V0909XS,"Pedestrian injured in nontraffic accident involving other motor vehicles, sequela"
V091XXA,"Pedestrian injured in unspecified nontraffic accident, initial encounter"
V091XXD,"Pedestrian injured in unspecified nontraffic accident, subsequent encounter"
V091XXS,"Pedestrian injured in unspecified nontraffic accident, sequela"
V0920XA,"Pedestrian injured in traffic accident involving unspecified motor vehicles, initial encounter"
V0920XD,"Pedestrian injured in traffic accident involving unspecified motor vehicles, subsequent encounter"
V0920XS,"Pedestrian injured in traffic accident involving unspecified motor vehicles, sequela"
V0921XA,"Pedestrian injured in traffic accident involving military vehicle, initial encounter"
V0921XD,"Pedestrian injured in traffic accident involving military vehicle, subsequent encounter"
V0921XS,"Pedestrian injured in traffic accident involving military vehicle, sequela"
V0929XA,"Pedestrian injured in traffic accident involving other motor vehicles, initial encounter"
V0929XD,"Pedestrian injured in traffic accident involving other motor vehicles, subsequent encounter"
V0929XS,"Pedestrian injured in traffic accident involving other motor vehicles, sequela"
V093XXA,"Pedestrian injured in unspecified traffic accident, initial encounter"
V093XXD,"Pedestrian injured in unspecified traffic accident, subsequent encounter"
V093XXS,"Pedestrian injured in unspecified traffic accident, sequela"
V099XXA,"Pedestrian injured in unspecified transport accident, initial encounter"
V099XXD,"Pedestrian injured in unspecified transport accident, subsequent encounter"
V099XXS,"Pedestrian injured in unspecified transport accident, sequela"
V100XXA,"Pedal cycle driver injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
V100XXD,"Pedal cycle driver injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
V100XXS,"Pedal cycle driver injured in collision with pedestrian or animal in nontraffic accident, sequela"
V101XXA,"Pedal cycle passenger injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
V101XXD,"Pedal cycle passenger injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
V101XXS,"Pedal cycle passenger injured in collision with pedestrian or animal in nontraffic accident, sequela"
V102XXA,"Unspecified pedal cyclist injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
V102XXD,"Unspecified pedal cyclist injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
V102XXS,"Unspecified pedal cyclist injured in collision with pedestrian or animal in nontraffic accident, sequela"
V103XXA,"Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal, initial encounter"
V103XXD,"Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal, subsequent encounter"
V103XXS,"Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal, sequela"
V104XXA,"Pedal cycle driver injured in collision with pedestrian or animal in traffic accident, initial encounter"
V104XXD,"Pedal cycle driver injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
V104XXS,"Pedal cycle driver injured in collision with pedestrian or animal in traffic accident, sequela"
V105XXA,"Pedal cycle passenger injured in collision with pedestrian or animal in traffic accident, initial encounter"
V105XXD,"Pedal cycle passenger injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
V105XXS,"Pedal cycle passenger injured in collision with pedestrian or animal in traffic accident, sequela"
V109XXA,"Unspecified pedal cyclist injured in collision with pedestrian or animal in traffic accident, initial encounter"
V109XXD,"Unspecified pedal cyclist injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
V109XXS,"Unspecified pedal cyclist injured in collision with pedestrian or animal in traffic accident, sequela"
V110XXA,"Pedal cycle driver injured in collision with other pedal cycle in nontraffic accident, initial encounter"
V110XXD,"Pedal cycle driver injured in collision with other pedal cycle in nontraffic accident, subsequent encounter"
V110XXS,"Pedal cycle driver injured in collision with other pedal cycle in nontraffic accident, sequela"
V111XXA,"Pedal cycle passenger injured in collision with other pedal cycle in nontraffic accident, initial encounter"
V111XXD,"Pedal cycle passenger injured in collision with other pedal cycle in nontraffic accident, subsequent encounter"
V111XXS,"Pedal cycle passenger injured in collision with other pedal cycle in nontraffic accident, sequela"
V112XXA,"Unspecified pedal cyclist injured in collision with other pedal cycle in nontraffic accident, initial encounter"
V112XXD,"Unspecified pedal cyclist injured in collision with other pedal cycle in nontraffic accident, subsequent encounter"
V112XXS,"Unspecified pedal cyclist injured in collision with other pedal cycle in nontraffic accident, sequela"
V113XXA,"Person boarding or alighting a pedal cycle injured in collision with other pedal cycle, initial encounter"
V113XXD,"Person boarding or alighting a pedal cycle injured in collision with other pedal cycle, subsequent encounter"
V113XXS,"Person boarding or alighting a pedal cycle injured in collision with other pedal cycle, sequela"
V114XXA,"Pedal cycle driver injured in collision with other pedal cycle in traffic accident, initial encounter"
V114XXD,"Pedal cycle driver injured in collision with other pedal cycle in traffic accident, subsequent encounter"
V114XXS,"Pedal cycle driver injured in collision with other pedal cycle in traffic accident, sequela"
V115XXA,"Pedal cycle passenger injured in collision with other pedal cycle in traffic accident, initial encounter"
V115XXD,"Pedal cycle passenger injured in collision with other pedal cycle in traffic accident, subsequent encounter"
V115XXS,"Pedal cycle passenger injured in collision with other pedal cycle in traffic accident, sequela"
V119XXA,"Unspecified pedal cyclist injured in collision with other pedal cycle in traffic accident, initial encounter"
V119XXD,"Unspecified pedal cyclist injured in collision with other pedal cycle in traffic accident, subsequent encounter"
V119XXS,"Unspecified pedal cyclist injured in collision with other pedal cycle in traffic accident, sequela"
V120XXA,"Pedal cycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
